CODE,MARKETING PERSON,RREGION,CUSTOMER NAME,,,
101720,Sakthivel,South,SRI RAGHAVENDRA BLUE DROP PVT LTD,,,
101692,Sakthivel,South,ANR PRESTIGE BEVERAGES,,,
101723,Sakthivel,South,SWARNA BEVERAGES,,,
101730,Sakthivel,South,NUTRICREAMS PRIVATE LIMITED,,,
101727,Sakthivel,South,ASR AQUA TECH,,,
101737,Sakthivel,South,MOM ICE CREAMS,,,
101628,Sakthivel,South,MAHAVIR BEVERAGES PRIVATE LIMITED,,,
101740,Sakthivel,South,RR AGENCY,,,
101743,Sakthivel,South,V-ONE POLYMERS,,,
100472,Sakthivel,South,CAVINKARE PRIVATE LTD,,,
101749,Sakthivel,South,MALABAR REGIONAL CO OPERATIVE MILK,,,
101752,Sakthivel,South,SABARKANTHA DISTRICT CO OPERATIVE M,,,
101754,Sakthivel,South,SURAVI BEVERAGES INDIA PRIVATE LIMI,,,
101753,Sakthivel,South,VARUN TRADERS,,,
101756,Sakthivel,South,SREE RAJESWARI DAIRY PRODUCTS I PVT,,,
101768,Sakthivel,South,HANGYO ICECREAMS PRIVATE LIMITED,,,
101769,Sakthivel,South,AIWE BEVERAGES LLP,,,
101764,Sakthivel,South,ADVAYA ASSOCIATES,,,
101775,Sakthivel,South,KARIMNAGAR MILK PRODUCER COMPANY LT,,,
101770,Sakthivel,South,IDEAL ICECREAM PRIVATE LIMITED,,,
101787,Sakthivel,South,ADITYA SAI INDUSTRIES,,,
101792,Sakthivel,South,SPARTA FOOD FACTORY INDIA PVT LTD,,,
101807,Sakthivel,South,PUJARI BEVERAGES,,,
101810,Sakthivel,South,THE NALGONDA RANGAREDDY MILK,,,
101811,Sakthivel,South,AQUAMILLS PREMIUM WATER AND BEVERAG,,,
101813,Sakthivel,South,MASQATI DAIRY PRODUCTS LIMITED,,,
100676,Sakthivel,South,SATGURU ENTERPRISES,,,
101822,Sakthivel,South,SURAKSHPET,,,
101824,Sakthivel,South,ABU FRUIT BEVERAGES,,,
101368,Sakthivel,South,BISTROBOON PRIVATE LIMITED,,,
101828,Sakthivel,South,SNRN BEVERAGES,,,
101829,Sakthivel,South,ALEENA FOODS & BEVERAGES,,,
101830,Sakthivel,South,AWANTHI INTERNATIONAL,,,
101832,Sakthivel,South,N.K.R. PLASTICS,,,
101834,Sakthivel,South,SPECTRA POLY PRODUCTS,,,
101833,Sakthivel,South,YUVAN BEVERAGES,,,
101835,Sakthivel,South,CLARO WATER,,,
101841,Sakthivel,South,POOJA INDUSTRIES,,,
101849,Sakthivel,South,R K FOOD PRODUCTS,,,
101470,Sakthivel,South,MANJILAS FOOD TECH PVT LTD,,,
101848,Sakthivel,South,SRI GOPI KRISHNA OFFSET PRINTERS,,,
101858,Sakthivel,South,OCEANA POSITIVE,,,
101862,Sakthivel,South,SRI LAKSHMI NARASIMHA AGENCIES,,,
101865,Sakthivel,South,SHENOYS,,,
101869,Sakthivel,South,SPECTRA FLAVOURS AND EMULSIONS,,,
101877,Sakthivel,South,SURYA MINERAL WATER,,,
101878,Sakthivel,South,BLUE OCEAN,,,
101883,Sakthivel,South,SPECIALISED ANILA FOODS PVT LTD,,,
101888,Sakthivel,South,RAAJ TRADING COMPANY,,,
101887,Sakthivel,South,SAI AQUAA PRODUCTS,,,
101893,Sakthivel,South,ALPHA OXYGEN & ALLIED PRODUCTS,,,
101900,Sakthivel,South,SRI KRISHNA BOTTLING,,,
101902,Sakthivel,South,PURE & CURE AQUAA FOODS,,,
101903,Sakthivel,South,PRAKRITI FOODS AND PACKAGING,,,
101907,Sakthivel,South,SR BEVERAGES,,,
101911,Sakthivel,South,HATSUN AGRO PRODUCT LTD,,,
101919,Sakthivel,South,AADYAAH ENTERPRISES,,,
101921,Sakthivel,South,V V M TRADERS & V V M PACKAGED DRIN,,,
101806,Sakthivel,South,VENKATA BEVERAGES PVT LTD (CNG),,,
101923,Sakthivel,South,VIJAYA JYOTHI BEVERAGES,,,
101913,Sakthivel,South,RAJCO AQUA PRODUCTS,,,
101930,Sakthivel,South,CLASSIC PET,,,
101932,Sakthivel,South,HILDA AUTOMATION,,,
101933,Sakthivel,South,ROSHAN TRADERS,,,
101944,Sakthivel,South,OXILIFE BEVERAGES,,,
101918,Sakthivel,South,SINGHANIA POLYMERS,,,
101954,Sakthivel,South,CHIRANTHAN FOODS AND BEVERAGES,,,
101955,Sakthivel,South,MINERVIN DISTILLERIES PVT LTD,,,
101962,Sakthivel,South,PURE DIP ENTERPRISES,,,
101969,Sakthivel,South,A.T.P. INDUSTRIES,,,
101974,Sakthivel,South,V.R.K FOODS,,,
101979,Sakthivel,South,PAVAN FOODS & BEVERAGES,,,
101977,Sakthivel,South,SABOLS FOODS INDIA PRIVATE LIMITED,,,
101984,Sakthivel,South,INTECH STRUCTURAL SYSTEMS,,,
102004,Sakthivel,South,HARI HARAN ASSOCIATES,,,
102007,Sakthivel,South,V M BHUTE ENTERPRISES,,,
102035,Sakthivel,South,SRI GANGA INDUSTRIES,,,
102049,Sakthivel,South,MERRY-TIME CREAM FOODS PVT .LTD,,,
102056,Sakthivel,South,ADITYA AQUATECH,,,
102057,Sakthivel,South,DHANRAJ BOTTLING,,,
102063,Sakthivel,South,PANDIAN AQUA PRODUCTS,,,
102067,Sakthivel,South,RICHI FOOD PRODUCTS,,,
102068,Sakthivel,South,AMBISONS BEVERAGES,,,
